本关用时 guan_time
移动路径 path
路径时间 path_time
首次移动人物时间 first_move_time
首次移动箱子时间 first_push_time
本关结果 result
第1关 guan
第2关 guan
第3关 guan
第4关 guan
第5关 guan
第6关 guan
第7关 guan
第8关 guan
第9关 guan
第10关 guan
第11关 guan
第12关 guan
第13关 guan
第14关 guan
第15关 guan
第16关 guan
第17关 guan
第18关 guan
第19关 guan
第20关 guan
第21关 guan
第22关 guan
第23关 guan
第24关 guan
第25关 guan
第26关 guan
第27关 guan
第28关 guan
第29关 guan
第30关 guan
第31关 guan
第32关 guan
第33关 guan
第34关 guan
第35关 guan
第36关 guan
第37关 guan
第38关 guan
第39关 guan
第40关 guan
第41关 guan
第42关 guan
第43关 guan
第44关 guan
第45关 guan
第46关 guan
第47关 guan
第48关 guan
第49关 guan
第50关 guan
游戏总用时 total_time
